時間戳記,Index,Learning_Rate,Batch_Size,Dropout_Config_ID,Dropout_Values,Accuracy,訓練耗時(秒),平台
2025-12-20 00:17:17,198,0.0001,18,7,"[0.3, 0.3, 0.3, 0.3]",0.829685,246.56,Windows-AMD64
2025-12-20 00:21:12,199,0.0001,18,8,"[0.5, 0.3, 0.3, 0.1]",0.829001,234.00,Windows-AMD64
2025-12-20 00:24:45,200,0.0001,18,9,"[0.2, 0.3, 0.4, 0.5]",0.835157,213.57,Windows-AMD64
2025-12-20 00:27:59,201,0.0001,20,0,"[0.3, 0.25, 0.2, 0.15]",0.838577,193.72,Windows-AMD64
2025-12-20 00:31:43,202,0.0001,20,1,"[0.35, 0.3, 0.25, 0.2]",0.837893,223.10,Windows-AMD64
2025-12-20 00:35:59,203,0.0001,20,2,"[0.4, 0.35, 0.3, 0.25]",0.831737,256.74,Windows-AMD64
2025-12-20 00:40:20,204,0.0001,20,3,"[0.45, 0.4, 0.35, 0.3]",0.831737,260.05,Windows-AMD64
2025-12-20 00:45:40,205,0.0001,20,4,"[0.5, 0.45, 0.4, 0.35]",0.838577,319.57,Windows-AMD64
2025-12-20 00:50:57,206,0.0001,20,5,"[0.55, 0.5, 0.45, 0.4]",0.830369,317.02,Windows-AMD64
2025-12-20 00:55:14,207,0.0001,20,6,"[0.4, 0.4, 0.4, 0.4]",0.837209,256.61,Windows-AMD64
2025-12-20 00:58:44,208,0.0001,20,7,"[0.3, 0.3, 0.3, 0.3]",0.837893,209.83,Windows-AMD64
2025-12-20 01:02:26,209,0.0001,20,8,"[0.5, 0.3, 0.3, 0.1]",0.826265,222.63,Windows-AMD64
